index,gender
Sallie Wilson,female
Dimitri Romanoff,male
Karin von Aroldingen,female
Katherine Litz,female
Loren Hightower,male
Stanley Williams,male
Hans Brenaa,male
Andre Eglevsky,male
Georgina Parkinson,female
Viveka Ljung,female
Enrique Martinez,male
Oleg Briansky,male
Erik Bruhn,male
Mary Skeaping,female
Elena Tchernichova,female
Salvatore Aiello,male
Mikhail Baryshnikov,male
John Taras,male
Elizabeth Schooling,female
Diana Joffe,female
Julie Lincoln,female
Michael Somes,male
Kevin McKenzie,male
Frederic Franklin,male
Takako Asakawa,female
Susan Jones,female
Tina Fehlandt,female
Reid Anderson,male
Victoria Simon,female
Sir Anthony Dowell,male
Maria Calegari,female
Jane Burn,female
Jean-Pierre Frohlich,male
Christopher Newton,male
Jane Bourne,female
Elaine Kudo,female
Merrill Ashley,male
Patrick Corbin,male
Amanda McKerrow,female
Roslyn Anderson,female
Darla Hoover,female
Gerard Charles,male
Grant Coyle,male
Ben Huys,male
Richard Tanner,male
Irina Kolpakova,female
Alexei Ratmansky,male
Stacy Caddell,female
Sebastien Marcovici,male
Anne Holm-Jensen Peyk,female
Twyla Tharp,female
Daniel de Andrade,male
Yurek Lazowsky,male
Donald Mahler,male
James Mitchell,male
Wendy Walker,female
Lorca Massine,male
Kenneth MacMillan,male
Faith Worth,female
Anna Markard,female
Wendy Ellis Somes,female
Christopher Carr,male
John Gardner,male
Kevin Haigen,male
Janie Taylor,female
Sara Rudner,female
Jenny Tattersall,female
Alexandre Benois,male
Victor Hughes,male
Kara Chan,female
Gian Francesco Malipiero,male
K Konstantinov,male
Jarold Byrns,male
Vittorio Rieti,male
Benjamin Britten,male
Mois Zlatkin,male
Leighton Lucas,male
Ottorino Respighi,male
Richard Mohaupt,male
Charles Koechlin,male
Antal Dorati,male
Eugene Fuerst,male
Constant Lambert,male
Hershy Kay,male
Joseph Levine,male
Rayburn Wright,male
Albert Boss,male
Richard Savage,male
Henri Busser,male
Howard Brubeck,male
John Lanchbery,male
Manuel Rosenthal,male
William Bolcom,male
Robert Rudolf,male
Elizabeth Meyers,female
William Brohn,male
Jack Elliott,male
Roger Desormiere,male
Robert Irving,male
Martin Yates,male
Judy Brown,female
Kurt-Heinz Stolze,male
Claude Debussy,male
Alexander Glazunov,male
Gordon Jones,male
Eugene Loring,male
Agnes de Mille,female
Anton Dolin,male
Michel Fokine,male
Antony Tudor,male
Andrée Howard,female
Bronislava Nijinska,female
Jose Fernandez,male
Adeline Genée,female
Adolph Bolm,male
Yurek Shabelevski,male
Mikhail Mordkin,male
Vania Psota,female
Leonide Massine,male
Simon Semenoff,male
David Lichine,male
George Balanchine,male
Argentinita,female
Catherine Littlefield,female
Jerome Robbins,male
Michael Kidd,male
Anatole Oboukhoff,male
Frederick Ashton,male
Herbert Ross,male
William Dollar,male
Jean Babilee,female
Carmelita Maracci,female
Roland Petit,male
Alicia Alonso,female
Edward Caton,male
Valerie Bettis,female
Harry Asmus,male
Robert Joffrey,male
Job Sanders,male
George Skibine,male
Alfred Rodrigues,male
Fernand Nault,male
Anna Sokolow,female
Valentina Pereyaslavec,female
John Butler,male
Birgit Cullberg,female
Serge Lifar,male
Dania Krupska,female
Viktor Rona,male
Lawrence Gradus,male
Harald Lander,male
August Bournonville,male
Richard Wagner,male
David Shields,male
Bentley Stone,male
Ron Sequio,male
Glen Tetley,male
Todd Bolender,male
Eliot Feld,male
Michael Smuin,male
David Blair,male
Arthur Saint-Leon,male
Jean Coralli,female
Dennis Nahat,male
Lew Christensen,male
Hans van Manen,male
Steven-Jan Hoff,male
José Limón,male
Erin Martin,female
Alvin Ailey,male
James Moore,male
William Carter,male
Keith Lee,male
Robert Gladstein,male
Ulf Gadd,male
Natalia Makarova,female
David Holmes,male
Victor Gsovsky,male
Peter van Dijk,male
Rudi van Dantzig,male
Tomm Ruud,male
Lar Lubovitch,male
Peter Darrell,male
John Neumeier,male
Robert Weiss,male
Asaf Messerer,male
Leonid Jacobsen,male
Alberto Alonso,male
Manuela Vargas,female
John Cranko,male
Laszlo Seregi,male
Alberto Mendez,male
Dalal Achcar,female
Igor Tchernichov,male
Yuri Grigorovitch,male
Ben Stevenson,male
La Meri,female
Rudolf Nureyev,male
Cynthia Gregory,female
Peter Gennaro,male
John Meehan,male
Daniel Levans,male
Vincente Nebrada,male
Walter Bourke,male
Marius Petipa,male
Martine van Hamel,female
Vaslav Nijinsky,male
Paul Taylor,male
Choo San Goh,male
Peter Anastos,male
Merce Cunningham,male
Lynne Taylor-Corbett,female
Jiří Kylián,male
John McFall,male
Michael Vernon,male
Fernando Bujones,male
Karole Armitage,female
David Parsons,male
Clark Tippet,male
Mark Morris,male
Martha Clarke,female
Martha Graham,female
Vladimir Vasiliev,male
Mats Ek,male
John Selya,male
Ulysses Dove,male
Christian Holder,male
James Kudelka,male
Jean-Christophe Maillot,male
Ronald Hynd,male
Nacho Duato,male
Robert Hill,male
Natalie Weir,female
Kirk Peterson,male
Stanton Welch,male
Christian Spuck,male
Anna-Marie Holmes,female
William Forsythe,male
Trey McIntyre,male
Christopher Wheeldon,male
Kurt Jooss,male
Peter,male
Jorma Elo,male
Benjamin Millepied,male
Lauri Stallings,female
Craig Salstein,male
Aszure Barton,female
Demis Volpi,male
Susan Jaffe,female
Marcelo Gomes,male
Liam Scarlett,male
Jessica Lang,female
Wayne McGregor,male
Michelle Dorrance,female
Cathy Marston,female
James Whiteside,male
Gemma Bond,female
Alexandre Dumas,male
Lev Ivanov,male
Pilar Lopez,female
John Ward,male
Jules Perrot,male
Alexander Gorsky,male
